"Story","Title","Result","Date","Stability","Duration (s)"
"Student curd test","This test will create a new student","SUCCESS","2020-05-19T23:19:18.548+01:00[Europe/London]","0.0","4.68"
"Student curd test","Verify if the student was added to the application","SUCCESS","2020-05-19T23:19:23.695+01:00[Europe/London]","0.0","1.6"
"Student curd test","Update the user information and verify the updated information","SUCCESS","2020-05-19T23:19:25.304+01:00[Europe/London]","0.0","0.85"
"Student curd test","Delete the student and verify if the student is deleted!","SUCCESS","2020-05-19T23:19:26.157+01:00[Europe/London]","0.0","0.76"
